code,description
E11.9,Type 2 diabetes mellitus without complications
E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease
E11.42,Type 2 diabetes mellitus with diabetic polyneuropathy
E11.21,Type 2 diabetes mellitus with diabetic nephropathy
E11.29,Type 2 diabetes mellitus with other diabetic kidney complication
E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
E11.41,Type 2 diabetes mellitus with diabetic mononeuropathy
E11.43,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy
E11.44,Type 2 diabetes mellitus with diabetic amyotrophy
E11.49,Type 2 diabetes mellitus with other diabetic neurological complication
E11.65,Type 2 diabetes mellitus with hyperglycemia
E11.8,Type 2 diabetes mellitus with unspecified complications
E10.9,Type 1 diabetes mellitus without complications
E10.22,Type 1 diabetes mellitus with diabetic chronic kidney disease
E10.42,Type 1 diabetes mellitus with diabetic polyneuropathy
E10.21,Type 1 diabetes mellitus with diabetic nephropathy
E10.29,Type 1 diabetes mellitus with other diabetic kidney complication
N18.1,"Chronic kidney disease, stage 1"
N18.2,"Chronic kidney disease, stage 2 (mild)"
N18.3,"Chronic kidney disease, stage 3 (moderate)"
N18.30,"Chronic kidney disease, stage 3 unspecified"
N18.31,"Chronic kidney disease, stage 3a"
N18.32,"Chronic kidney disease, stage 3b"
N18.4,"Chronic kidney disease, stage 4 (severe)"
N18.5,"Chronic kidney disease, stage 5"
N18.6,End stage renal disease
N18.9,"Chronic kidney disease, unspecified"
N17.9,"Acute kidney failure, unspecified"
I50.22,Chronic systolic (congestive) heart failure
I50.32,Chronic diastolic (congestive) heart failure
I50.9,"Heart failure, unspecified"
I50.20,Unspecified systolic (congestive) heart failure
I50.30,Unspecified diastolic (congestive) heart failure
I50.21,Acute systolic (congestive) heart failure
I50.31,Acute diastolic (congestive) heart failure
I50.23,Acute on chronic systolic (congestive) heart failure
I50.33,Acute on chronic diastolic (congestive) heart failure
I50.1,"Left ventricular failure, unspecified"
I50.810,"Right heart failure, unspecified"
I50.811,Acute right heart failure
I50.813,Acute on chronic right heart failure
I50.82,Biventricular heart failure
I50.84,End stage heart failure
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection
J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation
J44.9,"Chronic obstructive pulmonary disease, unspecified"
J43.9,"Emphysema, unspecified"
J41.0,Simple chronic bronchitis
J41.1,Mucopurulent chronic bronchitis
J42,Unspecified chronic bronchitis
I10,Essential (primary) hypertension
I11.0,Hypertensive heart disease with heart failure
I11.9,Hypertensive heart disease without heart failure
I12.0,Hypertensive chronic kidney disease with stage 5 or end stage renal disease
I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4, or unspecified"
I13.0,Hypertensive heart and chronic kidney disease with heart failure and stage 1-4 CKD
I13.10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1-4 CKD"
I13.11,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 or ESRD"
I13.2,Hypertensive heart and chronic kidney disease with heart failure and stage 5 or ESRD
I15.0,Renovascular hypertension
I15.1,Hypertension secondary to other renal disorders
I15.2,Hypertension secondary to endocrine disorders
I15.8,Other secondary hypertension
I15.9,"Secondary hypertension, unspecified"
I16.0,Hypertensive urgency
I16.1,Hypertensive emergency
I16.9,"Hypertensive crisis, unspecified"
F32.0,"Major depressive disorder, single episode, mild"
F32.1,"Major depressive disorder, single episode, moderate"
F32.2,"Major depressive disorder, single episode, severe without psychotic features"
F32.3,"Major depressive disorder, single episode, severe with psychotic features"
F32.4,"Major depressive disorder, single episode, in partial remission"
F32.5,"Major depressive disorder, single episode, in full remission"
F32.89,Other specified depressive episodes
F32.9,"Major depressive disorder, single episode, unspecified"
F33.0,"Major depressive disorder, recurrent, mild"
F33.1,"Major depressive disorder, recurrent, moderate"
F33.2,"Major depressive disorder, recurrent, severe without psychotic features"
F33.3,"Major depressive disorder, recurrent, severe with psychotic features"
F33.41,"Major depressive disorder, recurrent, in partial remission"
F33.42,"Major depressive disorder, recurrent, in full remission"
F33.9,"Major depressive disorder, recurrent, unspecified"
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris
I25.110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
I25.111,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm
I25.118,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris
I25.119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
I25.2,Old myocardial infarction
I25.5,Ischemic cardiomyopathy
I25.9,"Chronic ischemic heart disease, unspecified"
I48.0,Paroxysmal atrial fibrillation
I48.11,Longstanding persistent atrial fibrillation
I48.19,Other persistent atrial fibrillation
I48.20,"Chronic atrial fibrillation, unspecified"
I48.21,Permanent atrial fibrillation
I48.91,Unspecified atrial fibrillation
E66.01,Morbid (severe) obesity due to excess calories
E66.09,Other obesity due to excess calories
E66.1,Drug-induced obesity
E66.2,Morbid (severe) obesity with alveolar hypoventilation
E66.3,Overweight
E66.811,"Obesity, class 1"
E66.813,"Obesity, class 2"
E66.814,"Obesity, class 3"
E66.89,Other obesity
E66.9,"Obesity, unspecified"
E78.00,"Pure hypercholesterolemia, unspecified"
E78.01,Familial hypercholesterolemia
E78.1,Pure hyperglyceridemia
E78.2,Mixed hyperlipidemia
E78.41,Elevated Lipoprotein(a)
E78.49,Other hyperlipidemia
E78.5,"Hyperlipidemia, unspecified"
E78.6,Lipoprotein deficiency
E78.70,"Disorder of bile acid and cholesterol metabolism, unspecified"
E78.79,Other disorders of bile acid and cholesterol metabolism
I63.9,"Cerebral infarction, unspecified"
I69.30,Unspecified sequelae of cerebral infarction
I69.398,Other sequelae of cerebral infarction
F03.90,Unspecified dementia without behavioral disturbance
F03.91,Unspecified dementia with behavioral disturbance
G30.0,Alzheimer disease with early onset
G30.1,Alzheimer disease with late onset
G30.8,Other Alzheimer disease
G30.9,"Alzheimer disease, unspecified"
G31.84,"Mild cognitive impairment, so stated"
M05.79,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement
M06.09,Rheumatoid arthritis without rheumatoid factor of multiple sites
M06.9,"Rheumatoid arthritis, unspecified"
I70.0,Atherosclerosis of aorta
I70.209,"Unspecified atherosclerosis of native arteries of extremities, unspecified extremity"
I70.219,"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity"
I73.9,"Peripheral vascular disease, unspecified"
K74.60,Unspecified cirrhosis of liver
K74.69,Other cirrhosis of liver
K76.0,"Fatty (change of) liver, not elsewhere classified"
K76.89,Other specified diseases of liver
C18.9,"Malignant neoplasm of colon, unspecified"
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
C50.919,Malignant neoplasm of unspecified site of unspecified female breast
C61,Malignant neoplasm of prostate
C67.9,"Malignant neoplasm of bladder, unspecified"
C25.9,"Malignant neoplasm of pancreas, unspecified"
C22.0,Liver cell carcinoma
D47.2,Monoclonal gammopathy
D63.1,Anemia in chronic kidney disease
D64.9,"Anemia, unspecified"
E03.9,"Hypothyroidism, unspecified"
E05.90,"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
E07.9,"Disorder of thyroid, unspecified"
E11.319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
E11.3211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"
E11.36,Type 2 diabetes mellitus with diabetic cataract
E11.51,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
E11.59,Type 2 diabetes mellitus with other circulatory complications
E11.610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy
E11.618,Type 2 diabetes mellitus with other diabetic arthropathy
E11.620,Type 2 diabetes mellitus with diabetic dermatitis
E11.621,Type 2 diabetes mellitus with foot ulcer
E11.622,Type 2 diabetes mellitus with other skin ulcer
E11.628,Type 2 diabetes mellitus with other skin complications
